Ravichandran Ashwin,Aaron Finch
Ravichandran Ashwin,Suresh Raina
Ravichandran Ashwin,Dwayne Bravo
Ravichandran Ashwin,Ravindra Jadeja
Ravichandran Ashwin,Pravin Tambe
Ravichandran Ashwin,Chris Gayle
Ravichandran Ashwin,Virat Kohli
Ravichandran Ashwin,Stuart Binny
Ravichandran Ashwin,Varun Aaron
Ravichandran Ashwin,Yuzvendra Chahal
Ravichandran Ashwin,Adam Milne
Ravichandran Ashwin,Shakib Al Hasan
Ravichandran Ashwin,Yusuf Pathan
Ravichandran Ashwin,Suryakumar Yadav
Ravichandran Ashwin,Andre Russell
Ravichandran Ashwin,Jason Holder
Ravichandran Ashwin,Murali Vijay
Ravichandran Ashwin,Glenn Maxwell
Ravichandran Ashwin,Jean-Paul Duminy
Ravichandran Ashwin,Pawan Negi
Ravichandran Ashwin,Chris Morris
Ravichandran Ashwin,Zaheer Khan
Ravichandran Ashwin,Lendl Simmons
Ravichandran Ashwin,Hardik Pandya
Ravichandran Ashwin,Krunal Pandya
Ravichandran Ashwin,Jasprit Bumrah
Ravichandran Ashwin,Shikhar Dhawan
Ravichandran Ashwin,Kane Williamson
Ravichandran Ashwin,Ashish Reddy
Ravichandran Ashwin,Trent Boult
Ravichandran Ashwin,Karn Sharma
Ravichandran Ashwin,Ashish Nehra
Ishant Sharma,Aaron Finch
Ishant Sharma,James Faulkner
Ishant Sharma,Ravindra Jadeja
Ishant Sharma,Praveen Kumar
Ishant Sharma,Dhawal Kulkarni
Ishant Sharma,Pravin Tambe
Ishant Sharma,Chris Gayle
Ishant Sharma,Shane Watson
Ishant Sharma,Virat Kohli
Ishant Sharma,Stuart Binny
Ishant Sharma,Varun Aaron
Ishant Sharma,Yuzvendra Chahal
Ishant Sharma,Sreenath Aravind
Ishant Sharma,Adam Milne
Ishant Sharma,Shakib Al Hasan
Ishant Sharma,Yusuf Pathan
Ishant Sharma,Suryakumar Yadav
Ishant Sharma,Andre Russell
Ishant Sharma,Jason Holder
Ishant Sharma,Piyush Chawla
Ishant Sharma,Umesh Yadav
Ishant Sharma,Morne Morkel
Ishant Sharma,Murali Vijay
Ishant Sharma,Glenn Maxwell
Ishant Sharma,Axar Patel
Ishant Sharma,Rishi Dhawan
Ishant Sharma,Mitchell Johnson
Ishant Sharma,Mohit Sharma
Ishant Sharma,Sandeep Sharma
Ishant Sharma,Jean-Paul Duminy
Ishant Sharma,Pawan Negi
Ishant Sharma,Chris Morris
Ishant Sharma,Amit Mishra
Ishant Sharma,Nathan Coulter-Nile
Ishant Sharma,Imran Tahir
Ishant Sharma,Lendl Simmons
Ishant Sharma,Rohit Sharma
Ishant Sharma,Kieron Pollard
Ishant Sharma,Hardik Pandya
Ishant Sharma,Krunal Pandya
Ishant Sharma,Tim Southee
Ishant Sharma,Jasprit Bumrah
Ishant Sharma,Lasith Malinga
Ishant Sharma,Shikhar Dhawan
Ishant Sharma,Kane Williamson
Ishant Sharma,Yuvraj Singh
Ishant Sharma,Ashish Reddy
Ishant Sharma,Moises Henriques
Ishant Sharma,Trent Boult
Ishant Sharma,Karn Sharma
Murugan Ashwin,Aaron Finch
Murugan Ashwin,Suresh Raina
Murugan Ashwin,Dwayne Bravo
Murugan Ashwin,James Faulkner
Murugan Ashwin,Ravindra Jadeja
Murugan Ashwin,Praveen Kumar
Murugan Ashwin,Dhawal Kulkarni
Murugan Ashwin,Pravin Tambe
Murugan Ashwin,Chris Gayle
Murugan Ashwin,Shane Watson
Murugan Ashwin,Virat Kohli
Murugan Ashwin,Stuart Binny
Murugan Ashwin,Varun Aaron
Murugan Ashwin,Yuzvendra Chahal
Murugan Ashwin,Sreenath Aravind
Murugan Ashwin,Adam Milne
Murugan Ashwin,Shakib Al Hasan
Murugan Ashwin,Yusuf Pathan
Murugan Ashwin,Suryakumar Yadav
Murugan Ashwin,Andre Russell
Murugan Ashwin,Jason Holder
Murugan Ashwin,Piyush Chawla
Murugan Ashwin,Umesh Yadav
Murugan Ashwin,Morne Morkel
Murugan Ashwin,Murali Vijay
Murugan Ashwin,Glenn Maxwell
Murugan Ashwin,Axar Patel
